game_id,Team,Time
b96f782c-da04-4641-9306-68968036bfd9,bKills,3.111
2a7e2cb1-5ac2-4ea2-bd18-0b261e43345a,bKills,6.371
2a7e2cb1-5ac2-4ea2-bd18-0b261e43345a,bKills,8.109
2a7e2cb1-5ac2-4ea2-bd18-0b261e43345a,bKills,9.413
e04ed84d-929b-4f0e-a769-e7bffc2b5162,bKills,8.835
e04ed84d-929b-4f0e-a769-e7bffc2b5162,rKills,5.145
db2cf98d-a55e-4e28-9702-d7363fad2ebb,rKills,1.956
db2cf98d-a55e-4e28-9702-d7363fad2ebb,rKills,10.077
3d7003be-4b9e-4a78-9b74-ef11e8648163,rKills,7.572
22758935-9da6-4ca3-a6ee-1dc586cc638b,bKills,9.709
22758935-9da6-4ca3-a6ee-1dc586cc638b,bKills,9.798
22758935-9da6-4ca3-a6ee-1dc586cc638b,rKills,9.704
d9ea0823-8a06-4b5c-b1ba-1ade8ec68969,bKills,5.974
d9ea0823-8a06-4b5c-b1ba-1ade8ec68969,rKills,4.874
d9ea0823-8a06-4b5c-b1ba-1ade8ec68969,rKills,8.064
d9ea0823-8a06-4b5c-b1ba-1ade8ec68969,rKills,8.234
d9ea0823-8a06-4b5c-b1ba-1ade8ec68969,rKills,8.293
d9ea0823-8a06-4b5c-b1ba-1ade8ec68969,rKills,10.623
d9ea0823-8a06-4b5c-b1ba-1ade8ec68969,rKills,10.878
a1008397-ede5-4655-b6fe-46c16f2fff92,bKills,8.821
a1008397-ede5-4655-b6fe-46c16f2fff92,bKills,8.866
a1008397-ede5-4655-b6fe-46c16f2fff92,rKills,10.591
8c5de84b-e678-4625-9911-ff3d276c4a0c,bKills,3.01
8c5de84b-e678-4625-9911-ff3d276c4a0c,bKills,9.488
8c5de84b-e678-4625-9911-ff3d276c4a0c,rKills,8.642999999999999
8c5de84b-e678-4625-9911-ff3d276c4a0c,rKills,8.771
8c5de84b-e678-4625-9911-ff3d276c4a0c,rKills,8.997
e6728b90-0534-41fe-94b7-0106437c1f42,bKills,4.302
e6728b90-0534-41fe-94b7-0106437c1f42,bKills,7.975
d7aeea0e-6206-418a-ad84-743a6fe94db1,bKills,4.192
d7aeea0e-6206-418a-ad84-743a6fe94db1,bKills,5.1610000000000005
d7aeea0e-6206-418a-ad84-743a6fe94db1,bKills,8.054
d7aeea0e-6206-418a-ad84-743a6fe94db1,bKills,8.583
