game_id,total_towers_b_team,total_towers_r_team
00032e36-8a18-472c-bf38-61b836b72e45,2.0,1.0
00265d98-0c54-4c63-935e-7367e934f06f,1.0,0.0
00281254-1bf8-42c0-9af5-9e54c6b36616,1.0,0.0
006682af-c158-40eb-9073-134b68c8d696,2.0,3.0
0073723e-a0f3-41a6-8fec-d55a9d02e207,1.0,1.0
007e4e7b-4115-4e9e-9d20-aee0f62918c5,1.0,1.0
008cb487-3fb0-416a-a22b-c8b2ff534c2a,1.0,0.0
00a07dbf-c807-4971-8319-9d27e6b55ec3,2.0,0.0
00a6e138-9db0-49ca-8923-b23f1fc28a4e,2.0,1.0
00afe259-b6ea-4d83-9265-2f0452903a42,2.0,2.0
00b9dacb-b0c1-4bb3-89fc-312fbdb4821f,1.0,2.0
0103699d-1068-4594-83ef-3631b94651dd,1.0,0.0
0104180d-3891-44cc-a387-382f873b3a56,1.0,0.0
010cb0aa-a65e-4ed1-b455-ab1072d78891,1.0,2.0
0114ffbe-99d7-422b-aabe-5109fd2ea7e7,1.0,0.0
01168dea-7132-494c-8389-aa8dfc06ad9d,1.0,0.0
012de008-c74e-4c1d-9652-ed925b127833,1.0,0.0
014e5206-d1a4-451b-b99c-1f173d443391,1.0,0.0
017d27d6-3199-4192-af20-5aa56400b5f7,2.0,0.0
017eaa93-7dfa-40d6-ae9a-cb772bbb6e14,2.0,0.0
018c4020-d241-4cd2-9138-c0765e5d5916,2.0,2.0
01a2388a-7b69-459c-b82c-b8395be1b541,1.0,0.0
01b2d005-cf35-4352-a408-44efb78200d8,2.0,2.0
01dc1eca-b327-4234-bf8e-ead9f96bbb29,1.0,0.0
02056da8-c376-4253-b58c-6da8b1c458b4,1.0,1.0
02093aa4-f749-414c-9cc6-04b81ceea512,2.0,2.0
0233c86e-0854-4ec0-bd6d-f35e0efde0d8,2.0,2.0
023abc41-e819-47c6-8534-6bcd9af0c599,1.0,2.0
023cc9bc-9a9c-4c17-be1f-3c0f65be3867,1.0,0.0
0246e5b4-8e21-4522-90e8-f027a5c65811,1.0,3.0
0275859c-58f4-408b-841c-2edf0c988d47,1.0,0.0
0285f015-b044-4a6c-91e1-84e2b0aa215f,2.0,2.0
02912002-eff7-4cbb-bf76-f9ee79d009b1,2.0,2.0
033a21ac-cfe3-4a0c-af07-acb4bb08ca6c,1.0,0.0
033fd596-701b-4efa-944d-67bdf351f34c,1.0,0.0
035369f4-4c29-452d-9fa8-88f5e7947a7a,2.0,2.0
036d4287-89a7-434a-bdc8-0f9c2d6d0d18,1.0,0.0
0386c0fe-8ece-44d7-818a-2933af318ef9,1.0,0.0
