game_id,blue_gold,red_gold
0001c4f2-b421-41e7-ae5e-6e8a61c7ad26,12071,13876
00032e36-8a18-472c-bf38-61b836b72e45,13778,11963
0024055a-f824-4a82-818f-22443bd2e080,13786,13461
00265d98-0c54-4c63-935e-7367e934f06f,11799,13021
00281254-1bf8-42c0-9af5-9e54c6b36616,14097,12799
003d96fe-d66c-4387-adae-ceb4269543bd,12062,13868
0042d216-8089-46e0-9b80-19015ec95b33,12820,12313
0043fd49-2f53-46e1-8bce-f4da7a46212b,13219,12581
004a6723-f15c-439f-9615-0babb56a62cd,12391,12605
004d0e39-a2c2-4da7-84f4-bdfa1848b499,12663,11300
005f018f-6b71-4943-a556-497097d7f164,13487,12123
00612aab-4149-489e-b632-878a6231a6ac,13178,13264
006447f9-8292-43c0-9e5a-dda5a65cd9e3,13829,14092
006682af-c158-40eb-9073-134b68c8d696,13955,13866
006d6a2b-b128-4be2-a2a6-f85ef2d0b536,13267,13642
0073723e-a0f3-41a6-8fec-d55a9d02e207,12161,12970
0075cd98-173e-45cf-b3e7-954a4ee7407c,12299,12493
0076cdeb-acad-42c5-8b1c-846dc774678e,12449,12936
007d4461-b4ed-4a21-b190-dfa8e3e4df76,11684,11210
007e4e7b-4115-4e9e-9d20-aee0f62918c5,12266,13062
00817338-3ee5-41fe-8fe2-27e124a6847f,13984,12602
0081c851-4256-4e66-834d-dbeb57d1ec7c,14073,12704
008cb487-3fb0-416a-a22b-c8b2ff534c2a,12524,12023
00a07dbf-c807-4971-8319-9d27e6b55ec3,14023,13223
00a6e138-9db0-49ca-8923-b23f1fc28a4e,13685,12599
00afe259-b6ea-4d83-9265-2f0452903a42,14142,14691
00b9dacb-b0c1-4bb3-89fc-312fbdb4821f,12726,15010
00e8d322-4740-4b4a-bc0d-67d74495314d,12302,14185
00fef4b2-b763-4b78-988a-2afcfe19af9b,11523,11499
0103699d-1068-4594-83ef-3631b94651dd,12067,11660
0104180d-3891-44cc-a387-382f873b3a56,13992,12665
010cb0aa-a65e-4ed1-b455-ab1072d78891,12273,13924
010fa844-4cae-4521-b941-519db39d339f,13910,12970
011357c5-62ff-4b30-8c8a-fa681c187fc4,12947,13293
0114ffbe-99d7-422b-aabe-5109fd2ea7e7,13463,13956
0115efdc-d990-4810-8d3f-208580cebecc,13120,13465
01168dea-7132-494c-8389-aa8dfc06ad9d,11829,12289
011f1043-1538-420a-9b7c-ba9128c8a30f,12515,13385
012de008-c74e-4c1d-9652-ed925b127833,13510,11079
01366bae-7353-462e-bd5a-c6595d51dc2b,13009,13340
0139c5ef-b65a-4915-a95e-0c2addc3f625,12972,12383
0140da6f-1679-4155-97b0-6e73fdf4840d,13342,14278
014e5206-d1a4-451b-b99c-1f173d443391,13300,12876
01541a0b-2f31-4626-944d-d447689c62c9,12993,13572
015cdc77-01d2-4ca1-a507-14c58ecf64d2,12813,13464
01780695-27f9-4212-98a5-fbad9fc5caa3,13961,12973
017a0d09-86a3-4a71-8b27-daaa3d1f7f55,12895,12395
017d27d6-3199-4192-af20-5aa56400b5f7,15823,12144
017eaa93-7dfa-40d6-ae9a-cb772bbb6e14,16471,12756
018c4020-d241-4cd2-9138-c0765e5d5916,14097,13993
01a2388a-7b69-459c-b82c-b8395be1b541,12992,13637
01a2a8ab-0a1b-4453-9390-e9c28f8e0000,13246,14507
01aed0f6-7894-48a6-ac99-b1f7369cece6,11548,11757
01b24a10-73c7-4964-a989-cf418c388f37,13641,15059
01b2d005-cf35-4352-a408-44efb78200d8,14781,12866
01d8a66e-c470-4266-949b-51c841743e73,12350,12002
01dc1eca-b327-4234-bf8e-ead9f96bbb29,12259,12118
01e3cf08-7d94-4a27-9ab2-c5e6aeff0ddf,12639,12854
01e59507-9ae8-4b24-80ea-88c5671814bf,14032,13282
01f1324d-8173-4425-832a-f2a9fa68cfe6,13703,14490
01fb57ab-7484-4a31-94e4-aedc65feb090,14703,12870
02056da8-c376-4253-b58c-6da8b1c458b4,11260,12564
02093aa4-f749-414c-9cc6-04b81ceea512,13242,13694
0214a8d4-8639-4ca6-8323-12afa8a8e554,13603,13768
022e7246-785f-4d45-bb15-f406a2d7a0d4,15134,12345
0233c86e-0854-4ec0-bd6d-f35e0efde0d8,13876,13634
02343f9f-9b85-40ae-ae31-c5ae070dd04d,12312,12138
023abc41-e819-47c6-8534-6bcd9af0c599,12430,12257
023cc9bc-9a9c-4c17-be1f-3c0f65be3867,14043,12867
0246e5b4-8e21-4522-90e8-f027a5c65811,12752,14141
026924fc-9407-4cd4-ab1f-5f3151f00494,14081,12727
0275859c-58f4-408b-841c-2edf0c988d47,13993,13001
0282c2ee-e3b0-4066-8e59-6d7d63a0ac92,13858,13646
0283c544-7a97-49cc-ba93-f257b9928eee,13141,14190
02852a1d-cc81-47db-8956-64b78ea83447,13104,15339
0285f015-b044-4a6c-91e1-84e2b0aa215f,14060,12921
028f2b95-54d3-4862-827a-e35fa34b88de,14423,14571
02912002-eff7-4cbb-bf76-f9ee79d009b1,13240,14364
02a08cc1-d4b6-4cae-83a4-d6f1f8b6b5f5,12921,12297
02a204fc-48a2-41c0-a6b0-3e0a0803768a,12639,12857
02b0d9d2-4033-4976-9ca0-d612e0024bca,11458,12028
02c26aa0-2cdf-4713-b203-cdf35d06c4d5,13138,12413
02c45fc8-8040-4332-ae04-a6b1bafaf3d4,12544,12513
02cc288c-4013-421d-85f3-4405ddadbd68,13145,13582
02d00ff5-32a4-4591-9877-a3df98e489af,12448,12421
02db3c4b-3479-4198-a9d9-1cfbf14ffb73,13343,12434
02efb390-5761-4acc-901c-2d4253f0a79c,12673,12863
030e09d9-65fe-4da2-8247-761487778679,12584,13387
031b4691-6b55-4e19-81e4-26d0748da195,12906,14367
03309061-ad15-4a1f-a29c-ac2902d008f4,12622,14195
0333ffba-5450-4e45-9b69-b23fd5da5e1d,12234,14331
033a21ac-cfe3-4a0c-af07-acb4bb08ca6c,16125,13060
033fd596-701b-4efa-944d-67bdf351f34c,15026,13570
03454788-02de-432f-8ab6-fe915977b466,12008,12702
03509044-0e62-49e5-a7fb-7ea2be9a097c,12461,12825
035369f4-4c29-452d-9fa8-88f5e7947a7a,13878,14241
03623987-bd53-4bb6-a537-6c7a7c8595f0,12487,13060
0362bd17-1457-4413-aa20-e49c3e216ed8,11480,12461
03685916-74e8-4625-bc29-8dc9f5f2df4e,13191,13846
036d4287-89a7-434a-bdc8-0f9c2d6d0d18,14545,11391
037b1f25-7d06-4ea6-9a88-648e2672dcf6,11968,12927
037e4e9d-a057-4dc7-9671-7b81c6084176,13353,12015
0380ae82-389e-496c-9a06-1f0c65623a9b,12230,13540
0386c0fe-8ece-44d7-818a-2933af318ef9,14487,12489
03955467-1537-4213-bfe2-56566d363f22,14403,13073
039b12a0-9cc4-43d8-bbd7-2192a6b99b21,14151,13220
03a25fb4-ef41-47ad-9d7b-b9896d05aa8d,13564,12648
03a9726f-20ea-4a00-9f08-e363706cf4ba,12128,13017
03db2a83-515f-4200-b708-3ee015386a5c,13475,11336
03e59f2e-e4e0-435c-8a37-875a7d3ca0fb,14906,14326
03ed864c-2855-4fd6-b9b0-fd57dea2a614,12051,12584
03f184c2-7070-4d6d-9e28-b460825d6e91,13821,12944
03f18e5c-be60-4de1-8545-b191369a443a,12958,13153
0429a4b3-3c36-4fb4-b86c-9f3332a329f7,14136,13098
042a58d3-12c3-4f2d-a660-ab6f324ca88b,12233,12363
042ef687-9ff7-48bc-a5b8-63cf8f503538,11884,11574
04306e6b-1eb4-49e4-b6fe-6392545accbd,13892,13160
043099d2-0657-4804-9b96-12be06bad44a,13103,13526
044808b9-c8f8-4e19-b925-3a728cb8c7dc,10088,11552
04482a1e-86a0-41ae-ac06-75b12688541e,13564,13220
044d52e1-eb0a-45b8-a29e-bed71d6f0dc6,13542,13972
046084d2-1959-4459-8b47-61a87324a4a5,13549,14389
0460d530-bb0b-46ef-8cff-e104da5f6fe2,13321,12584
046e11e0-9968-44a2-811a-93df2d3b8eb1,14418,14557
04898ecc-93a3-44de-ad04-f3899ac82da1,13083,14051
