,monster_name,time_to_dist_monster,game_id
0,bDragons,4.656,258c77d0-6226-4243-892a-8d9de5a5b401
1,bDragons,10.084,3c1cc1d2-0ff4-4559-95e2-99cba51eadce
2,bDragons,7.22,62d0c6cd-77a0-4fb4-a70b-3adad90d0247
3,bDragons,10.998,49e39636-5df8-4b54-96fb-133f3f336e55
4,bDragons,10.085,54fbed5e-33f8-4f16-92d7-7f00e8dda7ba
5,bDragons,9.603,bf803250-b0ba-48f7-972e-da960ced243b
6,bDragons,8.666,883ae257-b3eb-49d6-ab11-d3cb77f01397
7,bDragons,8.377,136ea9b0-1974-4e8f-bc11-d3c1b35b39fe
8,bDragons,9.869,78d17963-aff2-49d0-bc5b-fab9abb0c120
9,bDragons,10.509,e1a271e6-ee4b-4647-ac6e-e19d4face092
10,bDragons,8.448,945451f5-749c-4589-bc04-5608c765acd4
11,bDragons,10.504,fd118224-4524-48bd-afef-b964d69d1196
12,bDragons,7.089,42c5267a-03ed-44b7-932e-8db8b609faad
13,bDragons,10.572,f26ed5c4-1223-4329-a78e-9faaca712fad
14,bDragons,10.665,5f75e232-6e0e-4691-8f7f-bd7297753387
15,bDragons,4.685,117ed826-9cff-42c1-9f94-25b83f924077
16,bDragons,10.654,f9529e31-7dec-447e-aab6-15b1402e2b2e
17,bDragons,9.174,b5e37e33-e92a-40da-9d38-2a2ca4b7378a
18,bDragons,6.844,b286e575-4984-43f4-a5b1-df87d7c07245
19,bDragons,8.573,b29688dc-379e-4109-8faa-0b6f23346025
20,bDragons,9.884,575415bb-c705-4864-82af-c2af337a7a2c
21,bDragons,8.918,7f1c26a1-2d54-4cec-a40d-c5ad308cc8c6
22,bDragons,10.403,21614312-ab22-4d71-8a7a-e1ddbbcba022
23,bDragons,10.481,c3e64c4f-35b0-448d-b168-876d6a430a51
24,bDragons,10.004,2694e3bd-bf43-49f2-8174-de1a07822167
25,bDragons,5.045,2e929b25-7d87-41d5-ae8b-a8853048f125
26,bDragons,4.586,4ef3b7d2-dc65-40f4-86f7-5184e025b3c5
27,bDragons,9.781,0a8762e8-7bd3-42e1-8b45-9bcb1bc7d4c2
28,bDragons,8.287,39724f26-4251-4a9b-b3a9-76c1710050af
29,bDragons,10.068,eb40069c-7687-45cf-9ff7-ed25c3230913
