game_id,total_monsters_b,total_monsters_a
0024055a-f824-4a82-818f-22443bd2e080,1.0,0.0
0043fd49-2f53-46e1-8bce-f4da7a46212b,1.0,0.0
004a6723-f15c-439f-9615-0babb56a62cd,1.0,0.0
006682af-c158-40eb-9073-134b68c8d696,1.0,1.0
0073723e-a0f3-41a6-8fec-d55a9d02e207,1.0,0.0
0081c851-4256-4e66-834d-dbeb57d1ec7c,1.0,0.0
00a6e138-9db0-49ca-8923-b23f1fc28a4e,1.0,0.0
00afe259-b6ea-4d83-9265-2f0452903a42,1.0,1.0
00fef4b2-b763-4b78-988a-2afcfe19af9b,1.0,0.0
011357c5-62ff-4b30-8c8a-fa681c187fc4,1.0,0.0
012de008-c74e-4c1d-9652-ed925b127833,1.0,0.0
017d27d6-3199-4192-af20-5aa56400b5f7,1.0,0.0
017eaa93-7dfa-40d6-ae9a-cb772bbb6e14,2.0,0.0
01b24a10-73c7-4964-a989-cf418c388f37,1.0,1.0
01fb57ab-7484-4a31-94e4-aedc65feb090,1.0,0.0
02056da8-c376-4253-b58c-6da8b1c458b4,1.0,0.0
02093aa4-f749-414c-9cc6-04b81ceea512,1.0,1.0
0233c86e-0854-4ec0-bd6d-f35e0efde0d8,1.0,1.0
0246e5b4-8e21-4522-90e8-f027a5c65811,1.0,1.0
0282c2ee-e3b0-4066-8e59-6d7d63a0ac92,1.0,0.0
0285f015-b044-4a6c-91e1-84e2b0aa215f,1.0,0.0
028f2b95-54d3-4862-827a-e35fa34b88de,1.0,0.0
02912002-eff7-4cbb-bf76-f9ee79d009b1,1.0,0.0
033a21ac-cfe3-4a0c-af07-acb4bb08ca6c,1.0,0.0
03454788-02de-432f-8ab6-fe915977b466,1.0,0.0
035369f4-4c29-452d-9fa8-88f5e7947a7a,1.0,1.0
0380ae82-389e-496c-9a06-1f0c65623a9b,1.0,0.0
03955467-1537-4213-bfe2-56566d363f22,1.0,0.0
039b12a0-9cc4-43d8-bbd7-2192a6b99b21,2.0,0.0
03a9726f-20ea-4a00-9f08-e363706cf4ba,1.0,0.0
0429a4b3-3c36-4fb4-b86c-9f3332a329f7,1.0,0.0
04306e6b-1eb4-49e4-b6fe-6392545accbd,1.0,0.0
04482a1e-86a0-41ae-ac06-75b12688541e,2.0,0.0
04898ecc-93a3-44de-ad04-f3899ac82da1,1.0,1.0
04927cb2-2730-4266-a6fa-81f77500c93b,1.0,0.0
04992c7d-a817-4f67-bc9b-c49b9b4dcdb9,1.0,0.0
04a0b926-2447-4175-af97-d57ba9947df7,1.0,0.0
04d821fe-0619-4608-bda6-4095a7b4faa9,1.0,0.0
04e608cc-0640-4e4b-a40d-3a54960bfc70,1.0,1.0
050d43b0-c900-4840-b6ba-7d5f53101784,1.0,0.0
054ebbd7-77be-4949-a614-252710939b7c,1.0,0.0
05985b88-bd87-410a-a74c-7ce7b00c37a2,1.0,0.0
059ad705-7338-4b10-84ac-08a7f78d2370,1.0,1.0
05c2ae4b-d147-4e84-a99d-f9214165088d,1.0,0.0
05e6ea57-5a5d-4964-b6c9-0335e47b0627,1.0,0.0
05fcd0f1-7971-486d-a6e5-ce892414bb6b,1.0,0.0
069431cf-3bd3-437a-9a95-f627ec2bf55a,1.0,0.0
06da3d9b-df2e-4cdd-b5eb-2c73f9547971,1.0,0.0
06f882c6-677d-4238-87a6-8027f2d55895,1.0,0.0
06fa7b0f-219f-453c-8f32-81750ba6f885,1.0,0.0
0706a167-65c0-44de-9684-a6d14f89748d,1.0,0.0
07130e3b-fcc5-40b3-a5c7-737edd57f7ad,1.0,0.0
0760fe23-17d9-4778-aac7-12cc96840bb2,2.0,0.0
07798e5b-ff73-459f-bf5b-b76b8e0253d4,1.0,1.0
077a83ca-69ec-44da-9f2c-7fd3cb6df7ed,1.0,0.0
07e2eccc-6fc4-4f69-838d-e0be2bf93e1e,1.0,0.0
07f0b7f2-4da4-4828-a8d4-aa052183daf6,1.0,0.0
08047be2-d70d-4335-8bee-723c5475db47,1.0,0.0
082c45b1-e551-4ead-a9d7-b2c15e0676de,1.0,0.0
0830c1a9-59bb-4a8d-9e26-783e7714ced4,2.0,0.0
0839b8d7-3070-4b6e-b186-417ad69ab6eb,1.0,0.0
08421e71-19a8-494b-bdd1-f78c68de7791,1.0,0.0
088f8b66-105e-423f-af8a-ee8653108f1e,1.0,0.0
089348c6-af5f-45df-a83f-f962bb212d9d,1.0,1.0
08a89161-e733-4f17-a7c3-c605a3bfea7c,1.0,1.0
08aed957-f441-42d4-8b5b-65fcb8db3055,1.0,0.0
08c447ca-44d9-4db8-ac55-3e309375b08f,1.0,1.0
08c8e8f2-1c2f-487b-b948-1461d9677ec8,1.0,0.0
08e0d563-f267-4675-8080-45be4ad74d9f,1.0,0.0
08ed51ff-310a-438a-9e93-1edb8db98616,1.0,0.0
09137940-4f34-4263-b645-d46344c9fbde,1.0,0.0
091c3dbc-312a-488c-9de9-0023f11d6c21,1.0,0.0
09a298ee-6a70-4b2d-bad6-4eef19c89434,1.0,0.0
