,towers_name,time_to_dist_tower,game_id
0,bTowers,6.378,5f86d932-465d-4278-8f2c-e837398c696e
1,bTowers,8.946,4b4c0c9f-62e2-44ea-a2fe-aa4c59a182b6
2,bTowers,8.96,3beaa8b3-6263-47c9-85fa-8dde611f0bb6
3,bTowers,10.332,9dcadc3c-7c30-4773-af55-a73edb4cf589
4,bTowers,8.743,3ca49512-a10f-472a-8c15-3bb67d6dbed3
5,bTowers,9.385,49e39636-5df8-4b54-96fb-133f3f336e55
6,bTowers,10.66,49e39636-5df8-4b54-96fb-133f3f336e55
7,bTowers,6.535,49e39636-5df8-4b54-96fb-133f3f336e55
8,bTowers,9.604,78d17963-aff2-49d0-bc5b-fab9abb0c120
9,bTowers,9.908,8c5de84b-e678-4625-9911-ff3d276c4a0c
10,bTowers,10.543,86f8d2df-a005-4edc-845b-803520b55afb
11,bTowers,8.386,945451f5-749c-4589-bc04-5608c765acd4
12,bTowers,9.112,a53496c3-b1e2-4bb9-975f-43789f609535
13,bTowers,7.489,a53496c3-b1e2-4bb9-975f-43789f609535
14,bTowers,5.417,a53496c3-b1e2-4bb9-975f-43789f609535
15,bTowers,10.353,a53496c3-b1e2-4bb9-975f-43789f609535
16,bTowers,10.283,42c5267a-03ed-44b7-932e-8db8b609faad
17,bTowers,10.576,0103699d-1068-4594-83ef-3631b94651dd
18,bTowers,9.873,f26ed5c4-1223-4329-a78e-9faaca712fad
19,bTowers,9.425,9a0fe477-3783-41c7-a9fe-7092da786f98
20,bTowers,8.891,506f95a6-dc35-4257-a6d3-5f705b1bd840
21,bTowers,9.555,506f95a6-dc35-4257-a6d3-5f705b1bd840
22,bTowers,5.553,117ed826-9cff-42c1-9f94-25b83f924077
23,bTowers,10.402,117ed826-9cff-42c1-9f94-25b83f924077
24,bTowers,5.418,4c5e6b6d-0010-4b13-aaed-1a82ac1f7f98
25,bTowers,7.479,6b9daf94-311c-4d5e-8ff6-c6f3f31951a9
26,bTowers,6.408,b5e37e33-e92a-40da-9d38-2a2ca4b7378a
27,bTowers,9.876,b286e575-4984-43f4-a5b1-df87d7c07245
28,bTowers,4.936,b221bf72-e4aa-41b2-9d48-faa608ca8a9f
29,bTowers,8.534,b29688dc-379e-4109-8faa-0b6f23346025
30,bTowers,5.322,575415bb-c705-4864-82af-c2af337a7a2c
31,bTowers,9.428,70345282-a1c4-4e63-a9e5-b07d179772ae
32,bTowers,10.458,7f1c26a1-2d54-4cec-a40d-c5ad308cc8c6
33,bTowers,7.517,aae3d584-550c-4da8-ae57-e4166df61361
34,bTowers,10.729,86e9a0a3-9501-46fc-8ced-23665ac8ab0f
35,bTowers,4.564,943c4dd3-6286-41ec-b735-57537a00f97c
36,bTowers,10.113,700303d3-2aff-4105-9175-648473ee675c
37,bTowers,10.477,39724f26-4251-4a9b-b3a9-76c1710050af
38,bTowers,9.558,eb40069c-7687-45cf-9ff7-ed25c3230913
39,bTowers,5.928,21d6e46a-6b6c-4466-8e07-ab887628f225
40,bTowers,4.523,2ebe580f-d68f-4f62-a3ee-d75d0089f1ae
41,bTowers,10.495,2ebe580f-d68f-4f62-a3ee-d75d0089f1ae
42,bTowers,4.033,d5760007-c66a-404c-b737-46f205f33054
43,bTowers,9.474,d5760007-c66a-404c-b737-46f205f33054
44,bTowers,4.146,6f94abf1-c9a9-49f1-87e3-0ac05bd4c946
45,bTowers,4.498,983af484-cb20-4438-ad40-00ac169f8918
46,bTowers,10.898,00032e36-8a18-472c-bf38-61b836b72e45
47,bTowers,4.059,00032e36-8a18-472c-bf38-61b836b72e45
48,bTowers,8.83,f2fbb08b-6df3-4d02-bf0f-9708f4263b7d
49,bTowers,7.533,e8a39cbb-d151-4ae6-bae6-61441242845d
50,bTowers,4.933,e8a39cbb-d151-4ae6-bae6-61441242845d
51,bTowers,10.094,2f21b261-3fb4-433c-bb38-d0d1de4a5a02
52,bTowers,8.354,44a531e0-6e22-4e32-ae8d-204736b4f970
53,bTowers,4.532,8b8223ae-c83b-49c6-82a8-adea2572d72d
54,bTowers,7.125,8b8223ae-c83b-49c6-82a8-adea2572d72d
55,bTowers,4.071,fb535f29-a829-416a-a430-2f6877d7c853
56,bTowers,6.568,fb535f29-a829-416a-a430-2f6877d7c853
57,bTowers,4.053,83c0ac50-1986-48aa-a802-aec3edbb8a24
58,bTowers,4.517,c90b02dd-01c0-4d2a-a881-79e8f3cbfaab
59,bTowers,6.097,c286f8f7-ba60-4184-bd15-0b00ae8c04fb
60,bTowers,4.064,c286f8f7-ba60-4184-bd15-0b00ae8c04fb
61,bTowers,10.785,96111538-2e7a-4135-9a84-fb9e5e547e26
62,bTowers,3.945,6eb13472-7bc0-47a7-aef0-431b635f6a98
63,bTowers,6.003,8ccde2c2-7572-48ac-9238-5f9d0700cc91
64,bTowers,3.567,8ccde2c2-7572-48ac-9238-5f9d0700cc91
65,bTowers,3.6,c826157e-550c-4d1e-ab91-a4050ebcda5f
66,bTowers,4.069,d3d6e842-d3c2-4922-b204-47f60bb63b1e
67,bTowers,8.267,19a16776-767d-48f5-b45a-76e2a2f97ea9
68,bTowers,10.603,dfb8edad-0f2b-4c3d-b16d-145559b90f3e
69,bTowers,10.784,e8941876-df65-40d5-b73c-3b77939abd67
70,bTowers,4.027,c770e530-cd04-43b1-bf04-dd5fe8c5beab
71,bTowers,3.957,7ca4c354-5d0d-4ccb-8a38-d8c1e8fab3d6
72,bTowers,4.414,e56b9494-0018-4bc8-a7dd-71ab132fc6a8
