game_id,total_kills_b_team,total_kills_r_team
00032e36-8a18-472c-bf38-61b836b72e45,8.0,4.0
0024055a-f824-4a82-818f-22443bd2e080,3.0,1.0
00281254-1bf8-42c0-9af5-9e54c6b36616,1.0,1.0
0042d216-8089-46e0-9b80-19015ec95b33,2.0,4.0
004a6723-f15c-439f-9615-0babb56a62cd,2.0,0.0
004d0e39-a2c2-4da7-84f4-bdfa1848b499,6.0,0.0
005f018f-6b71-4943-a556-497097d7f164,8.0,8.0
00612aab-4149-489e-b632-878a6231a6ac,1.0,1.0
006447f9-8292-43c0-9e5a-dda5a65cd9e3,4.0,4.0
006d6a2b-b128-4be2-a2a6-f85ef2d0b536,1.0,1.0
0075cd98-173e-45cf-b3e7-954a4ee7407c,2.0,2.0
0076cdeb-acad-42c5-8b1c-846dc774678e,1.0,3.0
007d4461-b4ed-4a21-b190-dfa8e3e4df76,8.0,0.0
00817338-3ee5-41fe-8fe2-27e124a6847f,6.0,2.0
0081c851-4256-4e66-834d-dbeb57d1ec7c,2.0,0.0
008cb487-3fb0-416a-a22b-c8b2ff534c2a,6.0,6.0
00a07dbf-c807-4971-8319-9d27e6b55ec3,1.0,2.0
00a6e138-9db0-49ca-8923-b23f1fc28a4e,4.0,2.0
00afe259-b6ea-4d83-9265-2f0452903a42,4.0,4.0
0103699d-1068-4594-83ef-3631b94651dd,4.0,0.0
0104180d-3891-44cc-a387-382f873b3a56,3.0,2.0
010cb0aa-a65e-4ed1-b455-ab1072d78891,2.0,2.0
010fa844-4cae-4521-b941-519db39d339f,7.0,1.0
011357c5-62ff-4b30-8c8a-fa681c187fc4,2.0,2.0
0114ffbe-99d7-422b-aabe-5109fd2ea7e7,3.0,3.0
0115efdc-d990-4810-8d3f-208580cebecc,1.0,0.0
01168dea-7132-494c-8389-aa8dfc06ad9d,4.0,6.0
011f1043-1538-420a-9b7c-ba9128c8a30f,1.0,2.0
012de008-c74e-4c1d-9652-ed925b127833,4.0,0.0
0139c5ef-b65a-4915-a95e-0c2addc3f625,8.0,2.0
014e5206-d1a4-451b-b99c-1f173d443391,1.0,1.0
015cdc77-01d2-4ca1-a507-14c58ecf64d2,1.0,4.0
01780695-27f9-4212-98a5-fbad9fc5caa3,3.0,0.0
017d27d6-3199-4192-af20-5aa56400b5f7,4.0,0.0
017eaa93-7dfa-40d6-ae9a-cb772bbb6e14,7.0,3.0
01a2388a-7b69-459c-b82c-b8395be1b541,1.0,1.0
01a2a8ab-0a1b-4453-9390-e9c28f8e0000,2.0,5.0
01aed0f6-7894-48a6-ac99-b1f7369cece6,4.0,4.0
01b24a10-73c7-4964-a989-cf418c388f37,6.0,8.0
01b2d005-cf35-4352-a408-44efb78200d8,6.0,0.0
01d8a66e-c470-4266-949b-51c841743e73,4.0,2.0
01e3cf08-7d94-4a27-9ab2-c5e6aeff0ddf,2.0,2.0
01e59507-9ae8-4b24-80ea-88c5671814bf,2.0,0.0
01f1324d-8173-4425-832a-f2a9fa68cfe6,2.0,2.0
01fb57ab-7484-4a31-94e4-aedc65feb090,10.0,2.0
0214a8d4-8639-4ca6-8323-12afa8a8e554,1.0,0.0
022e7246-785f-4d45-bb15-f406a2d7a0d4,5.0,1.0
023cc9bc-9a9c-4c17-be1f-3c0f65be3867,4.0,0.0
026924fc-9407-4cd4-ab1f-5f3151f00494,4.0,6.0
0275859c-58f4-408b-841c-2edf0c988d47,10.0,4.0
0282c2ee-e3b0-4066-8e59-6d7d63a0ac92,4.0,4.0
0283c544-7a97-49cc-ba93-f257b9928eee,6.0,12.0
02852a1d-cc81-47db-8956-64b78ea83447,2.0,6.0
0285f015-b044-4a6c-91e1-84e2b0aa215f,2.0,0.0
02a08cc1-d4b6-4cae-83a4-d6f1f8b6b5f5,4.0,6.0
02a204fc-48a2-41c0-a6b0-3e0a0803768a,1.0,0.0
02c26aa0-2cdf-4713-b203-cdf35d06c4d5,2.0,0.0
02c45fc8-8040-4332-ae04-a6b1bafaf3d4,4.0,2.0
02cc288c-4013-421d-85f3-4405ddadbd68,2.0,2.0
02d00ff5-32a4-4591-9877-a3df98e489af,6.0,6.0
02db3c4b-3479-4198-a9d9-1cfbf14ffb73,5.0,4.0
02efb390-5761-4acc-901c-2d4253f0a79c,2.0,0.0
030e09d9-65fe-4da2-8247-761487778679,1.0,0.0
03309061-ad15-4a1f-a29c-ac2902d008f4,2.0,6.0
033a21ac-cfe3-4a0c-af07-acb4bb08ca6c,6.0,2.0
