date,wp,ws,day,month,hour,rolling_max,rolling_min,rolling_mean,rolling_std,df_logg_wp,df_logg_ws
2009-07-01 01:00:00,0.105,3.81,1,7,1,0.105,0.105,0.105,0.0,-2.2537949288246137,1.3376291891386096
2009-07-01 02:00:00,0.033,3.68,1,7,2,0.105,0.033,0.069,0.05091168824543142,-3.4112477175156566,1.3029127521808397
2009-07-01 03:00:00,0.022,3.66,1,7,3,0.105,0.022,0.05333333333333334,0.045081407845511366,-3.816712825623821,1.297463147413275
2009-07-01 04:00:00,0.039,3.7,1,7,4,0.105,0.022,0.04975,0.037500000000000006,-3.2441936328524905,1.308332819650179
2009-07-01 05:00:00,0.257337139272271,4.338232424318239,1,7,5,0.257337139272271,0.022,0.0912674278544542,0.09835228303526586,-1.357368227816689,1.4674669896504104
2009-07-01 06:00:00,0.105,3.66,1,7,6,0.257337139272271,0.022,0.09355618987871184,0.08814742113199535,-2.2537949288246137,1.297463147413275
2009-07-01 07:00:00,0.017,3.45,1,7,7,0.257337139272271,0.017,0.08261959132461015,0.08551162216751301,-4.074541934925921,1.2383742310432684
2009-07-01 08:00:00,0.017,3.2,1,7,8,0.257337139272271,0.017,0.07441714240903388,0.08249771821452723,-4.074541934925921,1.1631508098056809
2009-07-01 09:00:00,0.006,3.09,1,7,9,0.257337139272271,0.006,0.06681523769691901,0.08046887546776557,-5.115995809754082,1.128171090909654
2009-07-01 10:00:00,0.0,3.21,1,7,10,0.257337139272271,0.0,0.060133713927227106,0.07875402475924666,-inf,1.1662709371419244
2009-07-01 11:00:00,0.0,3.44,1,7,11,0.257337139272271,0.0,0.05466701266111555,0.07688114088815276,-inf,1.235471471385307
2009-07-01 12:00:00,0.0,3.55,1,7,12,0.257337139272271,0.0,0.05011142827268925,0.07498274972921173,-inf,1.2669476034873244
2009-07-01 13:00:00,0.0,3.4,1,7,13,0.257337139272271,0.0,0.04625670302094393,0.07312348561511932,-inf,1.2237754316221157
2009-07-01 14:00:00,0.0,3.16,1,7,14,0.257337139272271,0.0,0.042952652805162216,0.07133419607562531,-inf,1.1505720275988207
2009-07-01 15:00:00,0.0,3.08,1,7,15,0.257337139272271,0.0,0.040089142618151406,0.06962825417425178,-inf,1.1249295969854831
2009-07-01 16:00:00,0.0,3.32,1,7,16,0.257337139272271,0.0,0.03758357120451694,0.06800980618365574,-inf,1.199964782928397
2009-07-01 17:00:00,0.257337139272271,4.338232424318239,1,7,17,0.257337139272271,0.0,0.050510251679090706,0.08471679016656981,-1.357368227816689,1.4674669896504104
2009-07-01 18:00:00,0.0,3.93,1,7,18,0.257337139272271,0.0,0.04770412658580789,0.08304516843898381,-inf,1.3686394258811698
