date,wp,ws,day,month,hour,rolling_max,rolling_min,rolling_mean,rolling_std,df_logg_wp,df_logg_ws
2009-07-01 01:00:00,0.085,2.47,1,7,1,0.085,0.085,0.085,0.0,-2.4651040224918206,0.9042181506398859
2009-07-01 02:00:00,0.02,2.4,1,7,2,0.085,0.02,0.052500000000000005,0.04596194077712559,-3.912023005428146,0.8754687373538999
2009-07-01 03:00:00,0.06,2.51,1,7,3,0.085,0.02,0.055,0.03278719262151,-2.8134107167600364,0.9202827531436925
2009-07-01 04:00:00,0.045,2.73,1,7,4,0.085,0.02,0.052500000000000005,0.02723355773061365,-3.101092789211817,1.0043016091968684
2009-07-01 05:00:00,0.035,2.93,1,7,5,0.085,0.02,0.049,0.024849547279578353,-3.3524072174927233,1.075002423028976
2009-07-01 06:00:00,0.005,2.96,1,7,6,0.085,0.005,0.041666666666666664,0.028577380332470412,-5.298317366548036,1.085189268335969
2009-07-01 07:00:00,0.0,2.81,1,7,7,0.085,0.0,0.03571428571428571,0.030472470011002204,-inf,1.0331844833456545
2009-07-01 08:00:00,0.0,2.73,1,7,8,0.085,0.0,0.03125,0.03090885217631258,-inf,1.0043016091968684
2009-07-01 09:00:00,0.01,2.87,1,7,9,0.085,0.0,0.02888888888888889,0.02976761849915292,-4.605170185988091,1.0543120297715298
2009-07-01 10:00:00,0.025,3.23,1,7,10,0.085,0.0,0.028500000000000004,0.028092110398947722,-3.6888794541139363,1.172482137234565
2009-07-01 11:00:00,0.03,3.66,1,7,11,0.085,0.0,0.02863636363636364,0.02665435321771184,-3.506557897319982,1.297463147413275
2009-07-01 12:00:00,0.01,3.94,1,7,12,0.085,0.0,0.027083333333333338,0.025977116969760253,-4.605170185988091,1.3711807233098425
2009-07-01 13:00:00,0.0,3.86,1,7,13,0.085,0.0,0.025000000000000005,0.025980762113533163,-inf,1.3506671834767394
2009-07-01 14:00:00,0.01,3.56,1,7,14,0.085,0.0,0.023928571428571434,0.025281383499491317,-4.605170185988091,1.269760544863939
2009-07-01 15:00:00,0.0,3.26,1,7,15,0.085,0.0,0.022333333333333337,0.025132979661525744,-inf,1.1817271953786161
2009-07-01 16:00:00,0.0,3.15,1,7,16,0.085,0.0,0.020937500000000005,0.024914436912494467,-inf,1.1474024528375417
2009-07-01 17:00:00,0.0,3.21,1,7,17,0.085,0.0,0.01970588235294118,0.024651989539087798,-inf,1.1662709371419244
2009-07-01 18:00:00,0.005,3.28,1,7,18,0.085,0.0,0.018888888888888893,0.02416582148623496,-5.298317366548036,1.1878434223960523
2009-07-01 19:00:00,0.0,3.27,1,7,19,0.085,0.0,0.01789473684210527,0.023881407777325454,-inf,1.184789984909162
2009-07-01 20:00:00,0.0,3.18,1,7,20,0.085,0.0,0.017000000000000005,0.02358634752295667,-inf,1.1568811967920856
2009-07-01 21:00:00,0.0,2.98,1,7,21,0.085,0.0,0.016190476190476193,0.023286517660695963,-inf,1.091923300517313
2009-07-01 22:00:00,0.005,2.66,1,7,22,0.085,0.0,0.015681818181818186,0.022850208634321804,-5.298317366548036,0.9783261227936078
2009-07-01 23:00:00,0.015,2.32,1,7,23,0.085,0.0,0.015652173913043483,0.02232529893040664,-4.199705077879927,0.8415671856782185
2009-07-02 00:00:00,0.0,2.04,2,7,0,0.085,0.0,0.015000000000000005,0.02206709137469482,-inf,0.712949807856125
